Time,"Edge(1, 2)","Edge(1, 3)"
35.925000000000004,0.7916507143961893,1.8283089171015567
36.018,0.7887634813787958,1.8259115682216316
36.116,0.7844447617793686,1.8206177239063952
36.2,0.7805366597699839,1.8164329795896101
36.300000000000004,0.7769347102522206,1.8125663265287626
36.396,0.7737202028991708,1.8081205765479984
36.485,0.770519761748417,1.804779493153736
36.578,0.7676027043997562,1.8017431882279746
36.669000000000004,0.7622654662559281,1.7967828880045866
36.761,0.7597463049658337,1.794738372076035
36.853,0.7563940997229484,1.789623848350268
36.954,0.7513833184704479,1.785022259648298
37.045,0.7486987652256568,1.78213059587635
37.137,0.7448863177535175,1.7780344277756197
37.225,0.7436577695419432,1.7775558913124612
37.319,0.7387634303175487,1.7714158540229872
37.409,0.7354455457744031,1.767813013877408
37.501,0.733708227280513,1.7666364126069007
37.594,0.7291809579644556,1.7610307195731663
37.706,0.7259321759573285,1.7575190759384691
37.794000000000004,0.7234759125045428,1.7541210560038993
37.884,0.720418848449344,1.7515794301639982
37.976,0.7178964075671657,1.749494297308639
38.082,0.7148690345135604,1.7462288568570776
38.169000000000004,0.711035775706721,1.741472243571822
38.271,0.7091942910657898,1.7401189494893756
38.368,0.704992374361316,1.7348952191387335
38.46,0.7019818754547178,1.7323790362854459
38.548,0.6997405600432645,1.7291655539585686
38.645,0.6978034833082941,1.726216430740215
38.732,0.6940467843704697,1.7229834301106481
38.82,0.6914487017882005,1.7201539840814815
38.908,0.6899440339388532,1.7190322736996728
39.007,0.6862846531436773,1.7145330543893886
39.106,0.6846271394973014,1.7133267894471567
39.201,0.6808793612329531,1.7086357802442222
39.292,0.6787535488047847,1.7063113971920754
39.388,0.675612483293828,1.7029008193620325
39.477000000000004,0.673340496524593,1.7004373429986868
39.574,0.671958600499042,1.6994189383101084
39.667,0.6698283481008188,1.6957649947937852
39.76,0.6658146447153308,1.6922242309432176
39.85,0.6635797640665158,1.689780948803041
39.937,0.6617114568555021,1.6877407937819486
40.027,0.659538568560813,1.6853748469134613
40.127,0.6578804647941078,1.68412761765935
40.22,0.6545908903823816,1.6799931146687388
40.313,0.6533933130610363,1.678018027907553
40.408,0.6510299720147827,1.676620484045688
40.499,0.6481369040205517,1.6729728503398906
40.58,0.6457927458516561,1.670398031643736
40.667,0.6442837952647111,1.6687443814574092
40.773,0.6414591777503383,1.6673666751163736
40.856,0.6396762686879387,1.6636970004885467
40.944,0.6377100530609738,1.661531814584106
41.039,0.6356420689138059,1.6592663626200823
41.133,0.6343024054229535,1.6582595261298687
41.224000000000004,0.6315391698346339,1.654772728142831
41.314,0.6294772609479592,1.6525123628645262
41.405,0.6278905338280875,1.6507765268048418
41.503,0.6262176273989934,1.648319230187497
41.596000000000004,0.6246065627190529,1.647623775726621
41.687,0.6219794527785693,1.6442980077954268
41.782000000000004,0.6199592849401983,1.6420586379239863
41.874,0.6189506270646207,1.6413835211960432
41.967,0.6168760801126534,1.63907416284319
42.06,0.6142434997122019,1.6358054902680859
42.159,0.612340194508707,1.6337145032758071
42.245000000000005,0.6110003311608848,1.6322587387252763
42.331,0.6090581968228961,1.6301378919036271
42.429,0.6074080674082278,1.6283397118618486
42.526,0.6055952058795537,1.6263630163290954
42.623,0.604182488925848,1.624253597948569
42.711,0.6022817974785444,1.6227505638200506
42.811,0.6008125359150708,1.621538222597123
42.896,0.5987507911951134,1.618880707335491
